Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.43273646,0.41713116,0.4137119,0.41965833,0.6782559
0.46343297,0.3373459,0.35694668,0.33811784,0.5688005
0.50081515,0.33203632,0.34380624,0.3310603,0.5568539
0.54234844,0.30699068,0.32791078,0.30491185,0.52534544
0.5938164,0.311651,0.31145024,0.30855918,0.52201045
0.56400275,0.2981743,0.2977492,0.29420748,0.49840242
0.52458304,0.2797105,0.29108766,0.27642348,0.4748905
0.5692821,0.26337832,0.27670822,0.25699237,0.4514487
0.50760776,0.28509128,0.29226908,0.27680466,0.47648752
0.48205018,0.25427106,0.28077427,0.2486443,0.44047445
0.490644,0.26792958,0.2886655,0.2634473,0.4594638
0.41533843,0.27121353,0.2650306,0.26611602,0.44267955
